Worm number,Experiment Name,Plate ID,Well Location,Dosage,Strain,Any worm detected,Last day of observation,Last day of health,Manual Censor,Runoff Censor inital,Runoff Censor experiment,Potentially still alive,Death Detected
84,3HAA_dose_response_OP50_001,3HAA_1,84,0.01mM 3HAA,n2,1,16,10,0,0,0,0,1
85,3HAA_dose_response_OP50_001,3HAA_1,85,0.01mM 3HAA,n2,1,16,12,0,0,0,0,1
86,3HAA_dose_response_OP50_001,3HAA_1,86,0.01mM 3HAA,n2,1,20,14,0,0,0,0,1
87,3HAA_dose_response_OP50_001,3HAA_1,87,0.01mM 3HAA,n2,1,23,17,0,0,0,0,1
88,3HAA_dose_response_OP50_001,3HAA_1,88,0.01mM 3HAA,n2,1,14,14,0,0,1,0,0
89,3HAA_dose_response_OP50_001,3HAA_1,89,0.01mM 3HAA,n2,1,16,12,0,0,0,0,1
90,3HAA_dose_response_OP50_001,3HAA_1,90,0.01mM 3HAA,n2,1,20,12,0,0,0,0,1
91,3HAA_dose_response_OP50_001,3HAA_1,91,0.01mM 3HAA,n2,1,5,3,0,0,0,0,1
92,3HAA_dose_response_OP50_001,3HAA_1,92,0.01mM 3HAA,n2,1,12,11,0,0,0,0,1
93,3HAA_dose_response_OP50_001,3HAA_1,93,0.01mM 3HAA,n2,1,18,16,0,0,0,0,1
94,3HAA_dose_response_OP50_001,3HAA_1,94,0.01mM 3HAA,n2,1,12,10,0,0,0,0,1
95,3HAA_dose_response_OP50_001,3HAA_1,95,0.01mM 3HAA,n2,1,21,14,0,0,0,0,1
96,3HAA_dose_response_OP50_001,3HAA_1,96,0.01mM 3HAA,n2,1,18,12,0,0,0,0,1
97,3HAA_dose_response_OP50_001,3HAA_1,97,0.01mM 3HAA,n2,1,16,15,0,0,0,0,1
98,3HAA_dose_response_OP50_001,3HAA_1,98,0.01mM 3HAA,n2,0,1,0,0,1,0,0,0
99,3HAA_dose_response_OP50_001,3HAA_1,99,0.01mM 3HAA,n2,1,11,10,0,0,0,0,1
100,3HAA_dose_response_OP50_001,3HAA_1,100,0.01mM 3HAA,n2,1,15,12,0,0,0,0,1
101,3HAA_dose_response_OP50_001,3HAA_1,101,0.01mM 3HAA,n2,1,17,14,0,0,0,0,1
102,3HAA_dose_response_OP50_001,3HAA_1,102,0.01mM 3HAA,n2,1,18,12,0,0,0,0,1
103,3HAA_dose_response_OP50_001,3HAA_1,103,0.01mM 3HAA,n2,1,21,23,0,0,0,0,1
104,3HAA_dose_response_OP50_001,3HAA_1,104,0.01mM 3HAA,n2,1,7,6,0,0,0,0,1
105,3HAA_dose_response_OP50_001,3HAA_1,105,0.01mM 3HAA,n2,1,16,12,0,0,0,0,1
106,3HAA_dose_response_OP50_001,3HAA_1,106,0.01mM 3HAA,n2,1,1,0,0,0,0,0,1
107,3HAA_dose_response_OP50_001,3HAA_1,107,0.01mM 3HAA,n2,1,17,12,0,0,0,0,1
108,3HAA_dose_response_OP50_001,3HAA_1,108,0.01mM 3HAA,n2,1,16,15,0,0,0,0,1
109,3HAA_dose_response_OP50_001,3HAA_1,109,0.01mM 3HAA,n2,1,17,15,0,0,0,0,1
110,3HAA_dose_response_OP50_001,3HAA_1,110,0.01mM 3HAA,n2,1,21,19,0,0,0,0,1
111,3HAA_dose_response_OP50_001,3HAA_1,111,0.01mM 3HAA,n2,1,16,13,0,0,0,0,1
112,3HAA_dose_response_OP50_001,3HAA_1,112,0.01mM 3HAA,n2,1,11,10,0,0,0,0,1
113,3HAA_dose_response_OP50_001,3HAA_1,113,0.01mM 3HAA,n2,1,16,10,0,0,0,0,1
114,3HAA_dose_response_OP50_001,3HAA_1,114,0.01mM 3HAA,n2,1,13,12,0,0,0,0,1
115,3HAA_dose_response_OP50_001,3HAA_1,115,0.01mM 3HAA,n2,1,6,6,0,0,1,0,0
116,3HAA_dose_response_OP50_001,3HAA_1,116,0.01mM 3HAA,n2,1,17,14,0,0,0,0,1
117,3HAA_dose_response_OP50_001,3HAA_1,117,0.01mM 3HAA,n2,1,12,11,0,0,0,0,1
118,3HAA_dose_response_OP50_001,3HAA_1,118,0.01mM 3HAA,n2,1,20,13,0,0,0,0,1
119,3HAA_dose_response_OP50_001,3HAA_1,119,0.01mM 3HAA,n2,1,18,14,0,0,0,0,1
120,3HAA_dose_response_OP50_001,3HAA_1,120,0.01mM 3HAA,n2,1,10,10,0,0,1,0,0
121,3HAA_dose_response_OP50_001,3HAA_1,121,0.1mM 3HAA,n2,1,16,16,0,0,1,0,0
122,3HAA_dose_response_OP50_001,3HAA_1,122,0.1mM 3HAA,n2,1,29,28,0,0,0,0,1
123,3HAA_dose_response_OP50_001,3HAA_1,123,0.1mM 3HAA,n2,1,15,15,0,0,1,0,0
124,3HAA_dose_response_OP50_001,3HAA_1,124,0.1mM 3HAA,n2,1,28,20,0,0,0,0,1
125,3HAA_dose_response_OP50_001,3HAA_1,125,0.1mM 3HAA,n2,1,13,9,0,0,0,0,1
126,3HAA_dose_response_OP50_001,3HAA_1,126,0.1mM 3HAA,n2,1,13,12,0,0,0,0,1
127,3HAA_dose_response_OP50_001,3HAA_1,127,0.1mM 3HAA,n2,1,19,18,0,0,0,0,1
128,3HAA_dose_response_OP50_001,3HAA_1,128,0.1mM 3HAA,n2,1,9,8,0,0,0,0,1
129,3HAA_dose_response_OP50_001,3HAA_1,129,0.1mM 3HAA,n2,0,1,0,0,1,0,0,0
130,3HAA_dose_response_OP50_001,3HAA_1,130,0.1mM 3HAA,n2,1,20,17,0,0,0,0,1
131,3HAA_dose_response_OP50_001,3HAA_1,131,0.1mM 3HAA,n2,1,20,16,0,0,0,0,1
132,3HAA_dose_response_OP50_001,3HAA_1,132,0.1mM 3HAA,n2,1,12,11,0,0,0,0,1
133,3HAA_dose_response_OP50_001,3HAA_1,133,0.1mM 3HAA,n2,1,6,5,0,0,0,0,1
134,3HAA_dose_response_OP50_001,3HAA_1,134,0.1mM 3HAA,n2,1,27,19,0,0,0,0,1
135,3HAA_dose_response_OP50_001,3HAA_1,135,0.1mM 3HAA,n2,1,21,17,0,0,0,0,1
136,3HAA_dose_response_OP50_001,3HAA_1,136,0.1mM 3HAA,n2,1,24,16,0,0,0,0,1
137,3HAA_dose_response_OP50_001,3HAA_1,137,0.1mM 3HAA,n2,1,15,12,0,0,0,0,1
138,3HAA_dose_response_OP50_001,3HAA_1,138,0.1mM 3HAA,n2,1,18,14,0,0,0,0,1
139,3HAA_dose_response_OP50_001,3HAA_1,139,0.1mM 3HAA,n2,1,24,17,0,0,0,0,1
140,3HAA_dose_response_OP50_001,3HAA_1,140,0.1mM 3HAA,n2,1,16,16,0,0,1,0,0
141,3HAA_dose_response_OP50_001,3HAA_1,141,0.1mM 3HAA,n2,1,16,14,0,0,0,0,1
142,3HAA_dose_response_OP50_001,3HAA_1,142,0.1mM 3HAA,n2,1,23,18,0,0,0,0,1
143,3HAA_dose_response_OP50_001,3HAA_1,143,0.1mM 3HAA,n2,1,15,14,0,0,0,0,1
144,3HAA_dose_response_OP50_001,3HAA_1,144,0.1mM 3HAA,n2,1,5,4,0,0,0,0,1
145,3HAA_dose_response_OP50_001,3HAA_1,145,0.1mM 3HAA,n2,1,24,22,0,0,0,0,1
146,3HAA_dose_response_OP50_001,3HAA_1,146,0.1mM 3HAA,n2,1,28,16,0,0,0,0,1
147,3HAA_dose_response_OP50_001,3HAA_1,147,0.1mM 3HAA,n2,1,19,16,0,0,0,0,1
148,3HAA_dose_response_OP50_001,3HAA_1,148,0.1mM 3HAA,n2,1,17,14,0,0,0,0,1
149,3HAA_dose_response_OP50_001,3HAA_1,149,0.1mM 3HAA,n2,1,18,15,0,0,0,0,1
150,3HAA_dose_response_OP50_001,3HAA_1,150,0.1mM 3HAA,n2,1,16,14,0,0,0,0,1
151,3HAA_dose_response_OP50_001,3HAA_1,151,0.1mM 3HAA,n2,1,21,16,0,0,0,0,1
152,3HAA_dose_response_OP50_001,3HAA_1,152,0.1mM 3HAA,n2,1,14,10,0,0,0,0,1
153,3HAA_dose_response_OP50_001,3HAA_1,153,0.1mM 3HAA,n2,1,16,11,0,0,0,0,1
154,3HAA_dose_response_OP50_001,3HAA_1,154,0.1mM 3HAA,n2,1,15,15,0,0,1,0,0
155,3HAA_dose_response_OP50_001,3HAA_1,155,0.1mM 3HAA,n2,1,17,14,0,0,0,0,1
156,3HAA_dose_response_OP50_001,3HAA_1,156,0.1mM 3HAA,n2,1,18,14,0,0,0,0,1
157,3HAA_dose_response_OP50_001,3HAA_1,157,0.1mM 3HAA,n2,1,16,10,0,0,0,0,1
158,3HAA_dose_response_OP50_001,3HAA_1,158,0.1mM 3HAA,n2,1,18,17,0,0,0,0,1
159,3HAA_dose_response_OP50_001,3HAA_1,159,0.1mM 3HAA,n2,1,20,14,0,0,0,0,1
160,3HAA_dose_response_OP50_001,3HAA_1,160,0.1mM 3HAA,n2,1,24,20,0,0,0,0,1
161,3HAA_dose_response_OP50_001,3HAA_1,161,0.1mM 3HAA,n2,1,20,19,0,0,0,0,1
162,3HAA_dose_response_OP50_001,3HAA_1,162,0.1mM 3HAA,n2,1,15,14,0,0,0,0,1
163,3HAA_dose_response_OP50_001,3HAA_1,163,0.1mM 3HAA,n2,1,18,15,0,0,0,0,1
164,3HAA_dose_response_OP50_001,3HAA_1,164,0.1mM 3HAA,n2,1,10,10,0,0,1,0,0
165,3HAA_dose_response_OP50_001,3HAA_1,165,0.1mM 3HAA,n2,1,12,9,0,0,0,0,1
166,3HAA_dose_response_OP50_001,3HAA_1,166,0.1mM 3HAA,n2,0,1,0,0,1,0,0,0
167,3HAA_dose_response_OP50_001,3HAA_1,167,0.1mM 3HAA,n2,1,16,15,0,0,0,0,1
168,3HAA_dose_response_OP50_001,3HAA_1,168,0.1mM 3HAA,n2,1,20,16,0,0,0,0,1
169,3HAA_dose_response_OP50_001,3HAA_1,169,0.1mM 3HAA,n2,1,27,26,0,0,0,0,1
170,3HAA_dose_response_OP50_001,3HAA_1,170,0.1mM 3HAA,n2,1,25,10,0,0,0,0,1
171,3HAA_dose_response_OP50_001,3HAA_1,171,0.1mM 3HAA,n2,1,23,18,0,0,0,0,1
172,3HAA_dose_response_OP50_001,3HAA_1,172,0.1mM 3HAA,n2,1,17,15,0,0,0,0,1
173,3HAA_dose_response_OP50_001,3HAA_1,173,0.1mM 3HAA,n2,1,18,14,0,0,0,0,1
174,3HAA_dose_response_OP50_001,3HAA_1,174,0.1mM 3HAA,n2,1,19,13,0,0,0,0,1
175,3HAA_dose_response_OP50_001,3HAA_1,175,0.1mM 3HAA,n2,1,19,14,0,0,0,0,1
176,3HAA_dose_response_OP50_001,3HAA_1,176,0.1mM 3HAA,n2,1,9,9,0,0,1,0,0
177,3HAA_dose_response_OP50_001,3HAA_1,177,0.1mM 3HAA,n2,1,31,17,0,0,0,0,1
178,3HAA_dose_response_OP50_001,3HAA_1,178,0.1mM 3HAA,n2,1,23,13,0,0,0,0,1
179,3HAA_dose_response_OP50_001,3HAA_1,179,0.1mM 3HAA,n2,1,21,20,0,0,0,0,1
180,3HAA_dose_response_OP50_001,3HAA_1,180,0.1mM 3HAA,n2,1,22,15,0,0,0,0,1
181,3HAA_dose_response_OP50_001,3HAA_1,181,1mM 3HAA,n2,1,8,7,0,0,0,0,1
182,3HAA_dose_response_OP50_001,3HAA_1,182,1mM 3HAA,n2,1,23,18,0,0,0,0,1
183,3HAA_dose_response_OP50_001,3HAA_1,183,1mM 3HAA,n2,1,20,17,0,0,0,0,1
184,3HAA_dose_response_OP50_001,3HAA_1,184,1mM 3HAA,n2,1,18,11,0,0,0,0,1
185,3HAA_dose_response_OP50_001,3HAA_1,185,1mM 3HAA,n2,1,31,25,0,0,0,0,1
186,3HAA_dose_response_OP50_001,3HAA_1,186,1mM 3HAA,n2,1,17,15,0,0,0,0,1
187,3HAA_dose_response_OP50_001,3HAA_1,187,1mM 3HAA,n2,1,21,18,0,0,0,0,1
188,3HAA_dose_response_OP50_001,3HAA_1,188,1mM 3HAA,n2,1,15,12,0,0,0,0,1
189,3HAA_dose_response_OP50_001,3HAA_1,189,1mM 3HAA,n2,1,18,14,0,0,0,0,1
190,3HAA_dose_response_OP50_001,3HAA_1,190,1mM 3HAA,n2,1,13,9,0,0,0,0,1
191,3HAA_dose_response_OP50_001,3HAA_1,191,1mM 3HAA,n2,1,18,15,0,0,0,0,1
192,3HAA_dose_response_OP50_001,3HAA_1,192,1mM 3HAA,n2,1,19,15,0,0,0,0,1
193,3HAA_dose_response_OP50_001,3HAA_1,193,1mM 3HAA,n2,1,24,23,0,0,0,0,1
194,3HAA_dose_response_OP50_001,3HAA_1,194,1mM 3HAA,n2,1,32,22,0,0,0,0,1
195,3HAA_dose_response_OP50_001,3HAA_1,195,1mM 3HAA,n2,1,35,31,0,0,0,0,1
196,3HAA_dose_response_OP50_001,3HAA_1,196,1mM 3HAA,n2,1,29,13,0,0,0,0,1
197,3HAA_dose_response_OP50_001,3HAA_1,197,1mM 3HAA,n2,1,31,14,0,0,0,0,1
198,3HAA_dose_response_OP50_001,3HAA_1,198,1mM 3HAA,n2,1,14,12,0,0,0,0,1
199,3HAA_dose_response_OP50_001,3HAA_1,199,1mM 3HAA,n2,1,11,9,0,0,0,0,1
200,3HAA_dose_response_OP50_001,3HAA_1,200,1mM 3HAA,n2,1,19,12,0,0,0,0,1
201,3HAA_dose_response_OP50_001,3HAA_1,201,1mM 3HAA,n2,1,9,6,0,0,0,0,1
202,3HAA_dose_response_OP50_001,3HAA_1,202,1mM 3HAA,n2,1,14,14,0,0,1,0,0
203,3HAA_dose_response_OP50_001,3HAA_1,203,1mM 3HAA,n2,0,1,0,0,1,0,0,0
204,3HAA_dose_response_OP50_001,3HAA_1,204,1mM 3HAA,n2,1,18,15,0,0,0,0,1
205,3HAA_dose_response_OP50_001,3HAA_1,205,1mM 3HAA,n2,1,24,18,0,0,0,0,1
206,3HAA_dose_response_OP50_001,3HAA_1,206,1mM 3HAA,n2,1,20,18,0,0,0,0,1
207,3HAA_dose_response_OP50_001,3HAA_1,207,1mM 3HAA,n2,1,29,23,0,0,0,0,1
208,3HAA_dose_response_OP50_001,3HAA_1,208,1mM 3HAA,n2,1,10,11,0,0,0,0,1
209,3HAA_dose_response_OP50_001,3HAA_1,209,1mM 3HAA,n2,0,1,0,0,1,0,0,0
210,3HAA_dose_response_OP50_001,3HAA_1,210,1mM 3HAA,n2,1,35,30,0,0,0,0,1
211,3HAA_dose_response_OP50_001,3HAA_1,211,1mM 3HAA,n2,1,21,17,0,0,0,0,1
212,3HAA_dose_response_OP50_001,3HAA_1,212,1mM 3HAA,n2,0,1,0,0,1,0,0,0
213,3HAA_dose_response_OP50_001,3HAA_1,213,1mM 3HAA,n2,1,16,13,0,0,0,0,1
214,3HAA_dose_response_OP50_001,3HAA_1,214,1mM 3HAA,n2,1,28,21,0,0,0,0,1
215,3HAA_dose_response_OP50_001,3HAA_1,215,1mM 3HAA,n2,1,20,20,0,0,1,0,0
216,3HAA_dose_response_OP50_001,3HAA_1,216,1mM 3HAA,n2,1,23,14,0,0,0,0,1
217,3HAA_dose_response_OP50_001,3HAA_1,217,1mM 3HAA,n2,1,24,19,0,0,0,0,1
218,3HAA_dose_response_OP50_001,3HAA_1,218,1mM 3HAA,n2,1,18,19,0,0,0,0,1
219,3HAA_dose_response_OP50_001,3HAA_1,219,1mM 3HAA,n2,1,21,16,0,0,0,0,1
220,3HAA_dose_response_OP50_001,3HAA_1,220,1mM 3HAA,n2,1,4,3,0,0,0,0,1
221,3HAA_dose_response_OP50_001,3HAA_1,221,1mM 3HAA,n2,1,31,17,0,0,0,0,1
222,3HAA_dose_response_OP50_001,3HAA_1,222,1mM 3HAA,n2,1,1,0,0,0,0,0,1
223,3HAA_dose_response_OP50_001,3HAA_1,223,1mM 3HAA,n2,1,23,23,0,0,1,0,0
224,3HAA_dose_response_OP50_001,3HAA_1,224,1mM 3HAA,n2,1,27,27,0,0,1,0,0
225,3HAA_dose_response_OP50_001,3HAA_1,225,1mM 3HAA,n2,1,26,23,0,0,0,0,1
226,3HAA_dose_response_OP50_001,3HAA_1,226,1mM 3HAA,n2,1,7,6,0,0,0,0,1
227,3HAA_dose_response_OP50_001,3HAA_1,227,1mM 3HAA,n2,1,17,17,0,0,1,0,0
228,3HAA_dose_response_OP50_001,3HAA_1,228,1mM 3HAA,n2,0,1,0,0,1,0,0,0
229,3HAA_dose_response_OP50_001,3HAA_1,229,1mM 3HAA,n2,0,1,0,0,1,0,0,0
230,3HAA_dose_response_OP50_001,3HAA_1,230,1mM 3HAA,n2,1,21,25,0,0,0,0,1
231,3HAA_dose_response_OP50_001,3HAA_1,231,1mM 3HAA,n2,1,23,17,0,0,0,0,1
232,3HAA_dose_response_OP50_001,3HAA_1,232,1mM 3HAA,n2,1,8,8,0,0,0,0,1
233,3HAA_dose_response_OP50_001,3HAA_1,233,1mM 3HAA,n2,1,23,20,0,0,0,0,1
234,3HAA_dose_response_OP50_001,3HAA_1,234,1mM 3HAA,n2,1,28,22,0,0,0,0,1
235,3HAA_dose_response_OP50_001,3HAA_1,235,1mM 3HAA,n2,1,39,26,0,0,0,0,1
236,3HAA_dose_response_OP50_001,3HAA_1,236,1mM 3HAA,n2,1,4,4,0,0,1,0,0
237,3HAA_dose_response_OP50_001,3HAA_1,237,1mM 3HAA,n2,1,23,14,0,0,0,0,1
238,3HAA_dose_response_OP50_001,3HAA_1,238,1mM 3HAA,n2,1,19,19,0,0,1,0,0
239,3HAA_dose_response_OP50_001,3HAA_1,239,1mM 3HAA,n2,0,1,0,0,1,0,0,0
240,3HAA_dose_response_OP50_001,3HAA_1,240,1mM 3HAA,n2,0,1,0,0,1,0,0,0
241,3HAA_dose_response_OP50_001,3HAA_2,1,0.1mM 3HAA,n2,0,1,0,0,1,0,0,0
242,3HAA_dose_response_OP50_001,3HAA_2,2,0.1mM 3HAA,n2,0,1,0,0,1,0,0,0
243,3HAA_dose_response_OP50_001,3HAA_2,3,0.1mM 3HAA,n2,1,19,18,0,0,0,0,1
244,3HAA_dose_response_OP50_001,3HAA_2,4,0.1mM 3HAA,n2,1,14,13,0,0,0,0,1
245,3HAA_dose_response_OP50_001,3HAA_2,5,0.1mM 3HAA,n2,1,9,10,0,0,0,0,1
246,3HAA_dose_response_OP50_001,3HAA_2,6,0.1mM 3HAA,n2,1,15,15,0,0,1,0,0
247,3HAA_dose_response_OP50_001,3HAA_2,7,0.1mM 3HAA,n2,1,27,21,0,0,0,0,1
248,3HAA_dose_response_OP50_001,3HAA_2,8,0.1mM 3HAA,n2,1,19,16,0,0,0,0,1
249,3HAA_dose_response_OP50_001,3HAA_2,9,0.1mM 3HAA,n2,1,12,11,0,0,0,0,1
250,3HAA_dose_response_OP50_001,3HAA_2,10,0.1mM 3HAA,n2,1,13,9,0,0,0,0,1
251,3HAA_dose_response_OP50_001,3HAA_2,11,0.1mM 3HAA,n2,1,15,14,0,0,0,0,1
252,3HAA_dose_response_OP50_001,3HAA_2,12,0.1mM 3HAA,n2,1,20,17,0,0,0,0,1
