Box,Backup Box,Tube,# of tubes in box,GLS Strain,Strain,Genotype,Sequence,Long Genotype,Outcrossed,Species,Freeze Date,Test Thaw Date,Added by,Source,Notes
,,,,,,,,,,,,,,,
23-31,6-51,,2.0,,GLS319,PS3551   hsf-1(sy441),,,,,,,,,
,,,,,,,,,,,,,,,
12-50,3-H9,,3.0,,JT10800,ncr-2(nr2023); ncr-1(nr2022),,ncr-2(nr2023) III; ncr-1(nr2022) X,,C. elegans,,2020-11-11 00:00:00,Emily Turner,CGC,"Daf-c (partial dauer), vulval abnormalities, broken alae, gonadal migration defects, low brood size, short lifespan. Strain is healthier when recovered from starved plates by chunking than when continuously propagated. Do not distribute this strain; other labs should request it from the CGC. This strain cannot be distributed to commercial organizations. This strain cannot be used for any commercial purpose or for work on human subjects."
,,,,,,,,,,,,,,,
14-A5,4-C3,,4.0,,COP677,ncr-1(knu4),,ncr-1(knu4) X,,C. elegans,,2020-11-11 00:00:00,Emily Turner,CGC,Cholesterol-sensitive. Smaller broods and sizes upon serial cholesterol deprivation. This strain may not be distributed to commercial or for-profit entities. Please contact ethan@perlara.com for more information.
,,,,,,,,,,,,,,,
14-I1,4-D9,,4.0,,VC343,glod-4,C16C10.10,glod-4(gk189) III,,,2025-04-02,2025-04-07 00:00:00,Emily Gardea,CGC,"Superficially wild type. Attribution: This strain was provided by the C. elegans Reverse Genetics Core Facility at the University of British Columbia, which is part of the international C. elegans Gene Knockout Consortium, which should be acknowledged in any publications resulting from its use"
,,,,,,,,,,,,,,,
14-H5,4-D8,,4.0,,VH725,glod-4(OE),,hdEx231 [C16C10.10::GFP + pha-1(+)],,,2025-04-02,2025-04-07 00:00:00,Emily Gardea,CGC,Ubiquitous expression of glyoxalase-1::GFP. Maintain at 25 C. Reference: Morcos M et al. (2008) Aging Cell 7(2):260-9.
,,,,,,,,,,,,,,,
10-14,3-C6,,4.0,,JIN1375,hlh-30,,hlh-30(tm1978) IV,,,2025-05-01,2025-05-19 00:00:00,Hope Dang,CGC,"Superficially wild-type. Grows at standard conditions. Reference: Settembre C, et al. Nat Cell Biol. 2013 Jun;15(6):647-58. Refrozen June 2025"
,,,,,,,,,,,,,,,
11-5,3-E6,,4.0,,CE541,sbp-1,,sbp-1(ep79) III,,,2025-05-01,2025-05-19 00:00:00,Hope Dang,CGC,"Slow growth, low fat stores. Viable at 15C, not at 25C. Slightly Dpy, reduced brood size, low penetrance. Maintain under normal conditions. Reference: Liang et al., (2010) PlosOne 5:3 e9869."
,,,,,,,,,,,,,,,
22-91,6-42,,5.0,,STE68,nhr-49(nr2041) I.,,,,,,,,CGC,"Pathare PP, et al. PLoS Genet. 2012 Apr;8(4):e1002645."
,,,,,,,,,,,,,,,
13-H5,4-B6,,1.0,,CL2166,dvIs19 [(pAF15)gst-4p::GFP::NLS] ,,dvIs19 [(pAF15)gst-4p::GFP::NLS] III,,C. elegans,,,Hope Dang,CGC,Oxidative stress-inducible GFP.
,,,,,,,,,,,,,,,
17-68,5-16,,4.0,,EG7565,nc-119(ed3) III; oxTi392 V.,,,,C. elegans,,,,,
,,,,,,,,,,,,,,,
24-1,6-66,,4.0,GLS473,GLS473,TJ356(daf-16::GFP oe) x EG7565 (H2B nuclear marker),,,,,,,,,
,,,,,,,,,,,,,,,
5,2,88.0,4.0,GLS88,DA465,eat-2,Y48B6A.4,eat-2(ad465)II,,C. elegans,,,George Sutphin,CGC,
,,,,,,,,,,,,,,,
4,1,68.0,4.0,GLS68,TJ356,DAF-16::GFP(oe),R13H8.1,zIs356[daf-16::GFP rol-6]IV,5,C. elegans,,,George Sutphin,CGC,"Daf-c, Rol, Fluorescent DAF-16::GFP, Age, increased resistance to heat and UV. Grows and reproduces slowly. Maintain at 20C.  Integrated by gamma irradiation of extrachromosomal (Ex daf-16::GFP) line. Reference: Curr Biol 11, 1950-1957.Lin, K., Hsin, H., Libina, N., and Kenyon, C. (2001). Nat Genet 28, 139-145."
21-46,6-11,,3.0,,TJ356,DAF-16::GFP(oe),,,,,,,,,
,,,,,,,,,,,,,,,
